tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
61338,Jean,13,4,δείπνου,δεῖπνον,G1173,16
61339,Jean,13,4,καὶ,καί,G2532,9108
61340,Jean,13,4,τίθησιν,τίθημι,G5087,100
61341,Jean,13,4,τὰ,ὁ,G3588,19785
61342,Jean,13,4,ἱμάτια,ἱμάτιον,G2440,59
61343,Jean,13,4,καὶ,καί,G2532,9108
61344,Jean,13,4,λαβὼν,λαμβάνω,G2983,257
61345,Jean,13,4,λέντιον,λέντιον,G3012,2
61346,Jean,13,4,διέζωσεν,διαζώννυμι,G1241,3
61347,Jean,13,4,ἑαυτόν,ἑαυτοῦ,G1438,317
61348,Jean,13,5,εἶτα,εἶτα,G1534,15
61349,Jean,13,5,βάλλει,βάλλω,G0906,121
61350,Jean,13,5,ὕδωρ,ὕδωρ,G5204,76
61351,Jean,13,5,εἰς,εἰς,G1519,1757
61352,Jean,13,5,τὸν,ὁ,G3588,19785
61353,Jean,13,5,νιπτῆρα,νιπτήρ,G3537,1
61354,Jean,13,5,καὶ,καί,G2532,9108
61355,Jean,13,5,ἤρξατο,ἄρχω,G0757,85
61356,Jean,13,5,νίπτειν,νίπτω,G3538,17
61357,Jean,13,5,τοὺς,ὁ,G3588,19785
61358,Jean,13,5,πόδας,πούς,G4228,93
61359,Jean,13,5,τῶν,ὁ,G3588,19785
61360,Jean,13,5,μαθητῶν,μαθητής,G3101,261
61361,Jean,13,5,καὶ,καί,G2532,9108
61362,Jean,13,5,ἐκμάσσειν,ἐκμάσσω,G1591,5
61363,Jean,13,5,τῷ,ὁ,G3588,19785
61364,Jean,13,5,λεντίῳ,λέντιον,G3012,2
61365,Jean,13,5,ᾧ,ὅς,G3739,1408
61366,Jean,13,5,ἦν,εἰμί,G1510,2458
61367,Jean,13,5,διεζωσμένος,διαζώννυμι,G1241,3
61368,Jean,13,6,Ἔρχεται,ἔρχομαι,G2064,630
61369,Jean,13,6,οὖν,οὖν,G3767,494
61370,Jean,13,6,πρὸς,πρός,G4314,699
61371,Jean,13,6,Σίμωνα,Σίμων,G4613,75
61372,Jean,13,6,Πέτρον,Πέτρος,G4074,155
61374,Jean,13,6,λέγει,λέγω,G3004,1318
61375,Jean,13,6,αὐτῷ,αὐτός,G0846,5558
61376,Jean,13,6,ἐκεῖνος,ἐκεῖνος,G1565,243
61377,Jean,13,6,κύριε,κύριος,G2962,716
61378,Jean,13,6,σύ,σύ,G4771,2896
61379,Jean,13,6,μου,ἐγώ,G1473,2462
61380,Jean,13,6,νίπτεις,νίπτω,G3538,17
61381,Jean,13,6,τοὺς,ὁ,G3588,19785
61382,Jean,13,6,πόδας,πούς,G4228,93
61383,Jean,13,7,ἀπεκρίθη,ἀποκρίνω,G0611,231
61384,Jean,13,7,Ἰησοῦς,Ἰησοῦς,G2424,910
61385,Jean,13,7,καὶ,καί,G2532,9108
61386,Jean,13,7,εἶπεν,ἔπω,G2036,929
